#{"t_start": 1611072861.059411, "env_id": "burger-v106"}
r,l,t
-0.061143,32,166.55036
-0.137239,32,166.729165
-0.108461,32,166.90895
-0.058574,32,167.087717
-0.171919,32,167.266394
-0.151678,32,167.444792
-0.207293,32,167.62309
-0.152977,32,167.802312
-0.114905,32,167.981094
-0.047397,32,168.159847
-0.088647,32,168.338869
-0.02094,32,168.517453
-0.106887,32,168.696001
-0.116423,32,168.874774
-0.218484,32,169.054319
-0.170379,32,169.232864
-0.183647,32,169.411853
-0.110735,32,169.590946
-0.230268,32,169.770408
-0.101843,32,169.949777
-0.164926,32,170.128495
-0.201559,32,170.307012
-0.118989,32,170.485633
-0.231699,32,170.664502
-0.02261,32,170.843262
-0.02782,32,171.022786
-0.082305,32,171.201184
-0.094376,32,171.379775
-0.191918,32,171.558532
-0.128823,32,171.737417
-0.115541,32,171.916541
-0.016799,32,172.095645
-0.134706,32,172.27431
-0.19889,32,172.452516
-0.085772,32,172.631346
-0.097387,32,172.810004
-0.005829,32,172.989133
-0.0126,32,173.167654
-0.163575,32,173.345683
-0.206596,32,173.523916
-0.067615,32,173.703051
-0.020634,32,173.881718
-0.244714,32,174.060681
-0.110601,32,174.239572
-0.053642,32,174.417576
-0.074118,32,174.595613
-0.050737,32,174.774468
-0.289822,32,174.953609
-0.115489,32,176.458576
-0.063406,32,176.632184
-0.189944,32,176.806152
-0.288714,32,176.978059
-0.146631,32,177.152378
-0.151718,32,177.326732
-0.179056,32,177.500412
-0.169402,32,177.673849
-0.048683,32,177.847536
-0.238863,32,178.021968
-0.02245,32,178.195744
-0.116791,32,178.369717
-0.031652,32,178.543325
-0.072717,32,178.71809
-0.110193,32,178.892563
-0.100623,32,179.066977
-0.019317,32,179.241205
-0.117986,32,179.415083
-0.058855,32,179.589197
-0.055776,32,179.763341
-0.082733,32,179.937537
-0.034963,32,180.112426
-0.116706,32,180.287714
-0.102779,32,180.46215
-0.241339,32,180.636378
-0.124333,32,180.810009
-0.134566,32,180.983841
-0.2097,32,181.158167
-0.087056,32,181.332289
-0.151943,32,181.506435
-0.013697,32,181.681594
-0.281203,32,181.857
-0.102801,32,182.032383
-0.05737,32,182.206749
-0.077364,32,182.38191
-0.066474,32,182.556258
-0.17531,32,182.729817
-0.128669,32,182.903866
-0.364506,32,183.07771
-0.125262,32,183.25139
-0.155935,32,183.424909
-0.056514,32,183.598337
-0.072793,32,183.772543
-0.080425,32,183.947072
-0.145313,32,184.118515
-0.045279,32,184.292487
-0.29135,32,184.466426
-0.11711,32,184.641239
-0.134129,32,184.816585
-0.22811,32,184.99115
-0.030092,32,185.175156
-0.202153,32,185.350604
-0.028864,32,185.525074
-0.072723,32,185.696095
-0.313279,32,185.866982
-0.094651,32,186.038148
-0.185846,32,186.209181
-0.225444,32,186.379649
-0.1262,32,186.55082
-0.045295,32,186.722752
-0.227935,32,186.893856
-0.151301,32,187.065088
-0.009258,32,187.236257
-0.167506,32,187.407798
-0.142097,32,188.910355
-0.104903,32,189.082622
-0.005099,32,189.253689
-0.112393,32,189.426533
-0.262988,32,189.597864
-0.092513,32,189.76899
-0.004543,32,189.940021
-0.097602,32,190.111081
-0.231704,32,190.282548
-0.14573,32,190.455385
-0.09223,32,190.625654
-0.029373,32,190.796978
-0.00615,32,190.968379
-0.203581,32,191.140481
-0.113343,32,191.311428
-0.114396,32,191.482506
-0.005919,32,191.653424
-0.128382,32,191.824348
-0.152398,32,191.995844
-0.092707,32,192.166565
-0.099537,32,192.337557
-0.149896,32,192.508572
-0.091619,32,192.679441
-0.22089,32,192.850658
-0.061903,32,193.021287
-0.159305,32,193.192099
-0.230566,32,193.362847
-0.102696,32,193.533469
-0.107299,32,193.704219
-0.113962,32,193.875291
-0.283765,32,194.046585
-0.194903,32,194.218791
-0.01558,32,194.391796
-0.118294,32,194.564834
-0.056179,32,194.737986
-0.053714,32,194.910831
-0.158748,32,195.084752
-0.161684,32,195.258202
-0.15148,32,195.43148
-0.028059,32,195.604833
-0.162404,32,195.778294
-0.068381,32,195.952392
-0.046227,32,196.125599
-0.039278,32,196.296767
-0.149965,32,196.467602
-0.045209,32,196.638613
-0.039537,32,196.809065
-0.108891,32,196.981805
-0.075836,32,197.153664
-0.234489,32,197.325001
-0.064875,32,197.496072
-0.121192,32,197.667139
-0.390564,32,197.838008
-0.124508,32,198.009186
-0.293019,32,198.180115
-0.053164,32,198.35094
-0.248525,32,198.521625
-0.206995,32,198.692825
-0.033662,32,198.863417
-0.091275,32,199.034404
-0.119717,32,199.205567
-0.131327,32,199.376707
-0.027139,32,199.547856
-0.077199,32,199.718172
-0.167377,32,201.244223
-0.230278,32,201.41392
-0.031819,32,201.586403
-0.149292,32,201.762375
-0.058437,32,201.938466
-0.140418,32,202.11387
-0.071052,32,202.29076
-0.030202,32,202.466876
-0.028666,32,202.642839
-0.102586,32,202.818817
-0.066465,32,202.994869
-0.201013,32,203.170347
-0.262451,32,203.346494
-0.065344,32,203.522149
-0.166012,32,203.698076
-0.160194,32,203.874271
-0.317086,32,204.05028
-0.131719,32,204.226563
-0.116102,32,204.403134
-0.381558,32,204.579292
-0.250374,32,204.755096
-0.015722,32,204.93117
-0.088314,32,205.106842
-0.12324,32,205.283323
-0.183569,32,205.459663
-0.214074,32,205.635538
-0.128683,32,205.811734
-0.151796,32,205.987854
