#{"t_start": 1615205539.1109385}
r,l,t,rew_unnormalized,forces
1.3029034,32.0,11653.849876403809,-4745.984,892.6502
1.3168141,32.0,11666.320648670197,-4525.9204,886.17755
1.3388162,32.0,11678.524314641953,-4182.872,873.9001
1.3205875,32.0,11691.093761205673,-4446.9,857.2584
1.1461877,32.0,11703.58764243126,-7063.957,897.31635
1.3237649,32.0,11715.864709854126,-4379.695,872.01294
1.3037543,32.0,11728.42695736885,-4670.218,882.23334
1.2694675,32.0,11740.854835510254,-5175.136,875.7413
1.3008934,32.0,11753.415889024734,-4692.5615,877.02936
1.302295,32.0,11765.487217664719,-4660.9014,881.5044
1.2903166,32.0,11777.900669336319,-4829.885,890.544
1.3071498,32.0,11790.475025892258,-4566.6323,863.76337
1.2817295,32.0,11802.989166259766,-4937.74,888.33673
1.261061,32.0,11815.496741771698,-5237.48,890.5877
1.302196,32.0,11827.89075756073,-4610.6333,885.10846
1.3029721,32.0,11840.291376113892,-4588.4614,902.7402
1.2967796,32.0,11852.672300815582,-4670.684,902.00195
1.248703,32.0,11864.44306397438,-5379.5225,871.20905
1.2902037,32.0,11876.624248504639,-4748.9604,885.9952
1.2497072,32.0,11889.17638540268,-5344.2686,900.79596
1.2567164,32.0,11901.759110927582,-5229.0376,906.4917
1.2701838,32.0,11914.31805062294,-5018.4404,896.9868
1.292397,32.0,11925.960772752762,-4676.389,880.91595
1.2504634,32.0,11938.286521196365,-5291.4126,882.5975
1.2591882,32.0,11950.664062023163,-5151.896,862.2004
1.2699041,32.0,11963.016725540161,-4982.1226,865.8869
1.205035,32.0,11975.396091222763,-5938.1816,914.8367
1.2883658,32.0,11987.779439210892,-4688.177,887.796
1.2657602,32.0,12000.465821027756,-5014.354,887.60425
1.2692385,32.0,12013.378849983215,-4952.3545,900.6763
1.3141339,32.0,12026.183369636536,-4275.404,872.7019
1.3158443,32.0,12038.894724845886,-4239.812,861.46155
1.2478831,32.0,12051.92826461792,-5238.416,907.0608
1.2573208,32.0,12064.64610362053,-5088.331,892.864
1.2857769,32.0,12077.583532571793,-4656.3354,873.1408
1.2509284,32.0,12090.510107755661,-5162.7803,864.28925
1.228535,32.0,12103.029809713364,-5485.304,913.02026
1.2591225,32.0,12115.576268672943,-5022.412,881.5231
1.242904,32.0,12128.233154773712,-5252.7075,895.49133
1.2678283,32.0,12140.696418046951,-4874.499,894.2134
1.2620581,32.0,12153.759637117386,-4950.217,892.9372
1.2334361,32.0,12166.523852109909,-5363.025,896.6428
1.2519064,32.0,12179.497673988342,-5081.03,904.4641
1.2575,32.0,12192.762567520142,-4988.5693,871.72284
1.2708794,32.0,12205.944463729858,-4781.5996,890.14844
1.2631538,32.0,12218.961816072464,-4885.7715,874.7992
1.2858027,32.0,12231.912791013718,-4542.2534,855.2265
1.2748425,32.0,12244.790100812912,-4694.0474,879.24146
1.2161475,32.0,12257.778720378876,-5548.1167,877.4904
1.2924771,32.0,12270.309204816818,-4415.899,859.3808
1.2706809,32.0,12282.769576787949,-4726.7046,883.77905
1.2814058,32.0,12295.404086589813,-4559.092,873.2067
1.2701918,32.0,12307.896189689636,-4714.249,896.40564
1.1966914,32.0,12320.477443218231,-5784.0283,896.55225
1.2682197,32.0,12333.118265867233,-4725.0586,884.51404
1.26745,32.0,12345.90821480751,-4726.5977,884.3727
1.1800705,32.0,12359.005373477936,-5997.9077,906.11774
1.2865416,32.0,12371.677400112152,-4428.8755,891.32794
1.2557682,32.0,12384.945167541504,-4870.0425,875.80835
1.2914265,32.0,12398.383429050446,-4338.705,892.93555
1.2669787,32.0,12411.004948616028,-4686.9717,870.15784
1.240543,32.0,12423.237422943115,-5063.561,890.82117
1.2961677,32.0,12436.195024490356,-4241.3,863.73065
1.2548538,32.0,12448.94569158554,-4835.405,914.2776
1.1626568,32.0,12461.833326101303,-6171.406,900.8939
1.2398009,32.0,12474.457979917526,-5037.4976,875.7213
1.2532994,32.0,12486.85254740715,-4831.2236,871.53577
1.2913048,32.0,12499.397551298141,-4268.017,884.81006
0.86297226,32.0,12512.026883840561,-10497.647,890.9867
1.2495847,32.0,12524.644724607468,-4857.9854,875.6234
1.2800511,32.0,12537.611482858658,-4404.9565,864.7541
1.2646451,32.0,12550.347962141037,-4619.728,883.50476
1.2230103,32.0,12563.24488735199,-5215.945,883.7543
1.2676609,32.0,12576.228704690933,-4557.828,888.5224
1.0708963,32.0,12589.17025089264,-7408.2617,897.06757
1.2665973,32.0,12602.13040304184,-4556.4077,870.9077
1.2741717,32.0,12615.066420555115,-4437.273,851.0544
1.2454879,32.0,12627.508703708649,-4844.016,888.86444
1.2117374,32.0,12640.068658828735,-5324.687,874.78815
1.2892578,32.0,12652.477858304977,-4192.028,855.3672
1.2706435,32.0,12664.93605542183,-4452.254,886.63947
1.2475958,32.0,14648.496785640717,-4776.8613,889.517
1.2510499,32.0,14662.245906352997,-4718.0234,884.35455
1.2689537,32.0,14675.512531518936,-4449.764,874.02313
1.272399,32.0,14688.749269008636,-4390.425,878.59875
1.2836626,32.0,14702.105188131332,-4218.6816,858.01544
1.2493329,32.0,14714.970651865005,-4705.233,879.0433
1.2389622,32.0,14727.563653469086,-4846.061,883.06537
1.2635225,32.0,14740.021802663803,-4482.711,872.98083
1.2815799,32.0,14752.85630440712,-4213.1475,855.48376
1.235516,32.0,14765.685209989548,-4867.863,875.4314
1.2407315,32.0,14779.094115495682,-4784.092,880.3025
1.2180414,32.0,14792.632924318314,-5102.0093,871.7278
1.261235,32.0,14805.843894958496,-4471.456,866.29193
0.744426,32.0,14819.250821352005,-11897.825,869.64844
1.2482508,32.0,14832.31300497055,-4640.2715,883.7672
1.2599719,32.0,14845.407475471497,-4463.1787,854.5236
1.2222435,32.0,14858.40534543991,-4996.177,867.2224
0.81099164,32.0,14871.652275800705,-10896.483,869.0183
1.2524328,32.0,14884.902638912201,-4546.098,866.91626
1.2367778,32.0,14898.039841651917,-4761.801,880.4448
1.232612,32.0,14911.23101902008,-4812.7715,882.42896
1.2007854,32.0,14924.506709814072,-5261.1167,877.1052
1.282395,32.0,14937.50496673584,-4082.5178,856.27344
1.2589469,32.0,14950.701137781143,-4409.6304,877.64923
1.2256795,32.0,14963.700891256332,-4876.9985,882.4226
1.2282199,32.0,14976.349010705948,-4832.0195,901.6626
1.2668368,32.0,14989.366816043854,-4270.883,864.9261
1.2173645,32.0,15001.69033241272,-4969.8594,898.17096
1.2451398,32.0,15014.095049142838,-4563.941,850.5998
1.1930928,32.0,15026.90625333786,-5298.814,888.96857
1.2767302,32.0,15040.069118022919,-4096.2495,858.7664
1.2360313,32.0,15053.115188121796,-4668.3364,869.83936
1.2829382,32.0,15066.309046506882,-3990.42,840.79236
1.2327708,32.0,15079.518242120743,-4697.068,881.1161
1.256881,32.0,15092.70260310173,-4344.998,881.0725
1.0347103,32.0,15105.250972270966,-7499.476,869.872
1.2802507,32.0,15118.201247930527,-3996.3357,864.3553
1.2338765,32.0,15131.162523031235,-4647.4336,857.55396
1.251482,32.0,15144.231145381927,-4388.571,868.5563
1.2653568,32.0,15157.09626340866,-4182.6724,861.057
1.2174784,32.0,15170.42391705513,-4854.4985,855.7596
1.2571795,32.0,15183.572284698486,-4282.2,841.96265
1.2463156,32.0,15196.97992014885,-4427.6724,860.53625
1.2615551,32.0,15210.129600048065,-4203.288,833.78937
1.2136753,32.0,15223.24080824852,-4873.8667,866.7544
1.2226044,32.0,15236.37109708786,-4739.026,847.9252
1.2189016,32.0,15249.74141550064,-4782.919,858.56165
1.2237632,32.0,15262.399743318558,-4705.602,875.62946
1.2590587,32.0,15275.246619224548,-4197.7896,865.99384
1.2546551,32.0,15288.04382443428,-4251.429,860.54767
1.2228692,32.0,15300.966436624527,-4692.688,862.0224
1.2353017,32.0,15313.533292293549,-4508.779,853.6389
1.2410057,32.0,15326.361869573593,-4419.6743,881.1068
1.2502367,32.0,15339.600708007812,-4280.8833,845.9777
1.2234403,32.0,15352.488489151001,-4650.769,870.5341
1.2209406,32.0,15364.795995950699,-4677.8438,864.4169
1.2596371,32.0,15376.96631526947,-4123.7554,867.16797
1.23508,32.0,15389.346339225769,-4461.628,870.2994
1.2436975,32.0,15402.212904453278,-4332.127,852.85046
1.2414795,32.0,15414.954725980759,-4354.943,855.6601
1.2639682,32.0,15427.227848529816,-4030.0505,856.6294
1.2474571,32.0,15439.999018669128,-4254.063,874.3669
1.256186,32.0,15452.845460653305,-4122.8955,870.9352
1.2010341,32.0,15465.712053775787,-4890.1274,893.19775
1.2738818,32.0,15477.980477333069,-3858.2222,853.00104
1.206394,32.0,15491.55553150177,-4797.6543,871.13776
1.2160608,32.0,15504.709374189377,-4654.2944,878.7071
1.2765148,32.0,15517.417588949203,-3797.532,845.54565
1.2581835,32.0,15530.530436992645,-4046.4094,848.9621
1.2270083,32.0,15544.064860343933,-4475.0356,886.4716
1.1700231,32.0,15557.127382516861,-5265.43,897.98987
1.2067946,32.0,15570.10129404068,-4742.3843,840.0913
1.2483766,32.0,15582.91066813469,-4152.502,867.40265
1.2062609,32.0,15595.971493959427,-4733.745,845.6783
1.2181913,32.0,15609.24239897728,-4558.823,866.0387
1.2113684,32.0,15622.662103414536,-4646.266,848.9567
1.2178942,32.0,15635.026236534119,-4547.301,869.45404
0.9239247,32.0,15647.781398296356,-8643.966,873.4627
1.0730481,32.0,15660.771208286285,-6555.6523,844.81366
1.2205329,32.0,15673.627486467361,-4490.255,852.0033
1.1991649,32.0,15686.130104064941,-4780.186,864.2287
1.2131733,32.0,15698.68950843811,-4577.496,868.4487
1.2010442,32.0,15711.631975650787,-4738.5684,861.4322
1.2162828,32.0,15724.652401447296,-4518.405,856.15283
1.2126014,32.0,15737.629904985428,-4562.0566,844.6575
1.1680121,32.0,15750.535939455032,-5174.1445,845.5447
1.2215288,32.0,15763.599403858185,-4422.443,845.9114
1.1034538,32.0,15776.444389820099,-6056.1733,877.5693
1.1987224,32.0,15789.254746437073,-4725.2637,829.1648
1.185167,32.0,15802.105765342712,-4905.7964,868.1387
1.2264571,32.0,15814.95230603218,-4324.899,835.9579
1.2031375,32.0,15827.613441705704,-4641.1562,852.3896
1.2087537,32.0,15840.322879076004,-4555.1597,841.1035
1.144105,32.0,15853.01082777977,-5444.0176,866.85065
1.1832281,32.0,15865.701743841171,-4894.4897,855.1145
1.1857306,32.0,15878.508607625961,-4851.984,866.25006
1.2159703,32.0,15891.136898517609,-4425.7153,844.69196
1.180062,32.0,15903.812042236328,-4915.146,858.697
1.1991345,32.0,15916.71799492836,-4643.937,847.4429
1.2095504,32.0,15929.394785165787,-4492.1436,848.7146
1.1829284,32.0,15942.168315410614,-4852.8594,864.1599
1.1991123,32.0,15954.996454954147,-4621.662,866.2775
1.2153616,32.0,15967.768557310104,-4389.484,863.46436
1.2045684,32.0,15980.635851621628,-4530.8735,857.38306
1.1775897,32.0,15993.305852174759,-4895.584,859.8842
1.2326505,32.0,16005.98713183403,-4128.7095,855.3303
1.2084155,32.0,16018.7932472229,-4455.2627,846.43787
1.2071506,32.0,16031.209172010422,-4465.131,830.31836
1.2456269,32.0,16043.465497493744,-3927.4785,835.5257
1.249641,32.0,16056.067912340164,-3864.4038,847.468
1.2279283,32.0,16068.828750133514,-4155.5796,839.9589
1.2107339,32.0,16081.732573747635,-4384.469,864.6136
1.2098092,32.0,16093.998843669891,-4389.7407,846.3526
1.2117062,32.0,16106.01623916626,-4355.9536,841.92896
1.1967918,32.0,16118.173543214798,-4553.3555,858.12427
